"customerid","recency_days","frequency","monetary","r_score","f_score","m_score","customer_segment"
"12419",385,"1","180.10",1,1,1,"Lost Customers"
"12420",63,"1","600.39",3,1,3,"Promising"
"12421",15,"4","807.04",5,4,3,"Loyal Customers"
"12422",95,"4","878.56",2,4,3,"At Risk"
"12423",0,"9","2323.59",5,5,5,"Champions"
"12424",162,"2","1760.96",2,3,4,"At Risk"
"12425",78,"1","777.20",3,1,3,"Promising"
"12426",194,"1","582.73",2,1,3,"Lost Customers"
"12427",21,"3","825.80",4,3,3,"Loyal Customers"
"12428",25,"9","7956.46",4,5,5,"Champions"
"12429",9,"4","3750.40",5,4,5,"Champions"
"12430",43,"1","256.40",3,2,2,"Promising"
"12431",35,"17","7540.22",4,5,5,"Champions"
"12432",42,"5","5059.32",3,4,5,"Loyal Customers"
"12433",0,"7","13375.87",5,5,5,"Champions"
"12434",84,"3","1103.43",3,3,4,"Loyal Customers"
"12435",79,"3","8837.89",3,4,5,"Loyal Customers"
"12436",99,"1","509.01",2,1,3,"Lost Customers"
"12437",1,"21","6139.47",5,5,5,"Champions"
"12438",14,"2","2906.85",5,3,5,"Loyal Customers"
"12439",725,"1","1066.36",1,1,4,"Lost Customers"
"12440",717,"1","568.51",1,1,3,"Lost Customers"
"12441",366,"1","173.55",1,1,1,"Lost Customers"
"12442",3,"1","172.06",5,1,1,"New Customers"
"12443",732,"1","485.31",1,1,2,"Lost Customers"
"12444",21,"5","5005.46",4,4,5,"Champions"
"12445",22,"1","133.40",4,2,1,"New Customers"
"12446",57,"1","1002.31",3,1,4,"Promising"
"12447",243,"1","476.49",2,1,2,"Lost Customers"
"12448",44,"1","449.45",3,1,2,"Promising"
"12449",22,"4","4067.29",4,4,5,"Champions"
"12450",156,"2","197.88",2,2,1,"Lost Customers"
"12451",10,"5","9035.52",5,4,5,"Champions"
"12452",16,"2","430.57",4,3,2,"Loyal Customers"
"12453",134,"1","707.09",2,1,3,"Lost Customers"
"12454",56,"1","3528.34",3,2,5,"Promising"
"12455",73,"7","4103.29",3,5,5,"Loyal Customers"
"12456",44,"3","3181.04",3,4,5,"Loyal Customers"
"12457",66,"7","2363.23",3,5,5,"Loyal Customers"
"12458",71,"2","947.40",3,2,3,"Promising"
"12461",94,"2","826.88",2,2,3,"Lost Customers"
"12462",18,"2","1189.59",4,3,4,"Loyal Customers"
"12463",53,"4","1344.78",3,4,4,"Loyal Customers"
"12464",10,"8","1212.05",5,5,4,"Champions"
"12465",17,"2","742.19",4,2,3,"New Customers"
"12468",187,"2","729.54",2,2,3,"Lost Customers"
"12470",689,"1","211.95",1,1,1,"Lost Customers"
"12471",2,"45","27452.20",5,5,5,"Champions"
"12472",32,"8","7858.54",4,5,5,"Champions"
"12473",29,"5","3928.05",4,4,5,"Champions"
"12474",17,"20","8229.77",4,5,5,"Champions"
"12475",53,"1","723.38",3,1,3,"Promising"
"12476",15,"11","6816.42",4,5,5,"Champions"
"12477",22,"6","13219.74",4,4,5,"Champions"
"12478",3,"1","680.99",5,1,3,"New Customers"
"12479",11,"1","527.20",5,1,3,"New Customers"
"12480",28,"4","3281.63",4,4,5,"Champions"
"12481",22,"11","6418.68",4,5,5,"Champions"
"12483",17,"9","2804.98",4,5,5,"Champions"
"12484",32,"6","4527.32",4,5,5,"Champions"
"12487",730,"1","285.30",1,2,2,"Lost Customers"
"12488",9,"3","1298.66",5,4,4,"Champions"
"12489",336,"1","334.93",1,2,2,"Lost Customers"
"12490",5,"12","6563.53",5,5,5,"Champions"
"12491",38,"1","460.40",4,1,2,"New Customers"
"12492",63,"2","263.21",3,2,2,"Promising"
"12493",165,"2","433.74",2,3,2,"At Risk"
"12494",15,"7","1246.10",5,5,4,"Champions"
"12497",81,"1","1043.10",3,1,4,"Promising"
"12498",21,"3","403.70",4,3,2,"Loyal Customers"
"12500",23,"11","4257.82",4,5,5,"Champions"
"12501",336,"1","2169.39",1,1,4,"Lost Customers"
"12502",95,"5","3723.87",2,4,5,"At Risk"
"12504",18,"2","482.05",4,3,2,"Loyal Customers"
"12506",232,"1","73.50",2,1,1,"Lost Customers"
"12507",134,"3","1304.81",2,4,4,"At Risk"
"12508",26,"2","397.88",4,3,2,"Loyal Customers"
"12509",284,"1","176.50",1,1,1,"Lost Customers"
"12510",142,"5","2829.44",2,4,5,"At Risk"
"12512",66,"2","132.18",3,2,1,"Promising"
"12513",112,"1","612.29",2,1,3,"Lost Customers"
"12514",267,"1","1017.68",1,1,4,"Lost Customers"
"12515",353,"1","383.70",1,2,2,"Lost Customers"
"12516",77,"2","1312.06",3,3,4,"Loyal Customers"
"12517",28,"5","2481.60",4,4,5,"Champions"
"12518",0,"5","2056.89",5,4,4,"Champions"
"12519",63,"1","330.84",3,2,2,"Promising"
"12520",79,"5","2634.26",3,4,5,"Loyal Customers"
"12521",142,"1","599.68",2,1,3,"Lost Customers"
"12522",39,"2","192.72",4,2,1,"New Customers"
"12523",19,"14","1989.66",4,5,4,"Champions"
"12524",9,"9","5251.62",5,5,5,"Champions"
"12526",0,"3","1316.66",5,4,4,"Champions"
"12527",81,"3","348.71",3,3,2,"Loyal Customers"
"12528",9,"6","1933.48",5,4,4,"Champions"
"12530",59,"4","1662.28",3,4,4,"Loyal Customers"
"12531",14,"1","125.22",5,2,1,"New Customers"
"12532",30,"1","349.83",4,2,2,"New Customers"
"12533",738,"1","929.92",1,2,3,"Lost Customers"
"12534",130,"1","1089.18",2,2,4,"Lost Customers"
"12535",91,"2","716.35",2,2,3,"Lost Customers"
"12536",43,"3","12601.83",3,4,5,"Loyal Customers"
"12538",29,"2","640.45",4,3,3,"Loyal Customers"
"12539",22,"6","10717.41",4,4,5,"Champions"
"12540",19,"20","15190.13",4,5,5,"Champions"
"12541",29,"3","981.18",4,3,4,"Loyal Customers"
"12544",36,"1","372.70",4,2,2,"New Customers"
"12545",75,"2","1000.39",3,2,4,"Promising"
"12546",46,"2","1161.50",3,2,4,"Promising"
"12547",197,"2","207.80",2,2,1,"Lost Customers"
"12548",166,"1","95.20",2,1,1,"Lost Customers"
"12549",696,"3","563.42",1,3,3,"At Risk"
"12550",79,"1","964.83",3,1,3,"Promising"
"12551",357,"1","168.00",1,1,1,"Lost Customers"
"12552",38,"2","437.82",4,3,2,"Loyal Customers"
"12553",8,"11","4070.76",5,5,5,"Champions"
"12556",50,"2","599.56",3,3,3,"Loyal Customers"
"12557",16,"6","13943.60",4,4,5,"Champions"
"12558",7,"1","269.96",5,2,2,"New Customers"
"12559",310,"2","561.71",1,3,3,"At Risk"
"12560",5,"3","2134.01",5,4,4,"Champions"
"12561",302,"1","238.85",1,1,1,"Lost Customers"
"12562",8,"8","4540.92",5,5,5,"Champions"
"12564",261,"1","456.90",1,1,2,"Lost Customers"
"12565",288,"1","145.92",1,2,1,"Lost Customers"
"12566",86,"1","351.65",3,2,2,"Promising"
"12567",22,"11","9790.58",4,5,5,"Champions"
"12569",2,"32","4124.69",5,5,5,"Champions"
"12571",39,"2","519.61",3,3,3,"Loyal Customers"
"12572",8,"2","1020.42",5,2,4,"New Customers"
"12573",227,"3","399.93",2,3,2,"At Risk"
"12574",315,"1","218.45",1,1,1,"Lost Customers"
"12576",35,"6","1587.10",4,4,4,"Champions"
"12577",35,"6","1164.43",4,4,4,"Champions"
"12578",21,"3","3630.59",4,4,5,"Champions"
"12579",78,"1","440.42",3,1,2,"Promising"
"12580",246,"1","415.70",2,1,2,"Lost Customers"
"12581",39,"1","197.71",3,1,1,"Promising"
"12582",238,"2","511.36",2,3,3,"At Risk"
"12583",2,"17","8838.82",5,5,5,"Champions"
"12584",3,"9","2338.15",5,5,5,"Champions"
"12585",234,"2","2040.10",2,3,4,"At Risk"
"12586",17,"3","1435.62",4,4,4,"Champions"
"12587",7,"1","144.00",5,2,1,"New Customers"
"12588",39,"1","214.90",3,1,1,"Promising"
"12589",28,"3","1362.18",4,4,4,"Champions"
"12590",211,"2","9864.26",2,3,5,"At Risk"
"12591",317,"2","654.00",1,3,3,"At Risk"
"12592",92,"2","437.60",2,3,2,"At Risk"
"12593",108,"3","418.10",2,3,2,"At Risk"
"12594",37,"11","3633.42",4,5,5,"Champions"
"12596",51,"2","618.27",3,3,3,"Loyal Customers"
"12597",19,"4","3811.22",4,4,5,"Champions"
"12598",9,"8","3023.08",5,5,5,"Champions"
"12599",29,"8","1187.06",4,5,4,"Champions"
"12600",28,"15","3929.12",4,5,5,"Champions"
"12601",189,"5","577.06",2,4,3,"At Risk"
"12602",58,"1","153.12",3,1,1,"Promising"
"12603",21,"1","739.20",4,2,3,"New Customers"
"12604",79,"2","254.18",3,2,2,"Promising"
"12605",376,"2","474.04",1,3,2,"At Risk"
"12607",60,"1","1579.51",3,1,4,"Promising"
"12609",78,"5","1910.00",3,4,4,"Loyal Customers"
"12610",22,"5","2099.54",4,4,4,"Champions"
"12611",52,"1","1193.32",3,1,4,"Promising"
"12612",74,"1","704.04",3,1,3,"Promising"
"12613",57,"7","5127.63",3,5,5,"Loyal Customers"
"12614",277,"1","315.60",1,2,2,"Lost Customers"
"12615",2,"4","2291.19",5,4,5,"Champions"
"12616",95,"3","1131.10",2,3,4,"At Risk"
"12617",29,"1","352.98",4,2,2,"New Customers"
"12618",21,"1","177.31",4,1,1,"New Customers"
"12619",16,"9","3641.24",4,5,5,"Champions"
"12620",14,"3","1339.41",5,4,4,"Champions"
"12621",1,"22","15917.98",5,5,5,"Champions"
"12622",232,"1","180.10",2,1,1,"Lost Customers"
"12623",276,"2","1884.82",1,3,4,"At Risk"
"12624",106,"2","641.13",2,3,3,"At Risk"
"12625",211,"2","2683.82",2,3,5,"At Risk"
"12626",23,"9","6620.48",4,5,5,"Champions"
"12627",10,"7","4478.53",5,5,5,"Champions"
"12628",4,"3","786.46",5,3,3,"Loyal Customers"
"12629",385,"1","853.86",1,1,3,"Lost Customers"
"12630",9,"2","1270.88",5,3,4,"Loyal Customers"
"12631",57,"2","1378.68",3,3,4,"Loyal Customers"
"12633",58,"5","2772.68",3,4,5,"Loyal Customers"
"12635",89,"3","2199.08",2,4,5,"At Risk"
"12636",738,"1","141.00",1,2,1,"Lost Customers"
"12637",67,"9","6874.48",3,5,5,"Loyal Customers"
"12638",33,"1","671.69",4,1,3,"New Customers"
"12639",238,"1","486.10",2,1,2,"Lost Customers"
"12640",23,"3","1174.58",4,4,4,"Champions"
"12641",115,"1","185.90",2,1,1,"Lost Customers"
"12642",25,"3","1013.26",4,3,4,"Loyal Customers"
"12643",128,"7","5169.72",2,5,5,"At Risk"
"12644",129,"2","1149.84",2,2,4,"Lost Customers"
"12645",33,"4","1775.18",4,4,4,"Champions"
"12646",4,"2","1346.97",5,3,4,"Loyal Customers"
"12647",22,"15","6311.33",4,5,5,"Champions"
"12648",154,"2","523.80",2,3,3,"At Risk"
"12649",107,"6","1504.75",2,4,4,"At Risk"
"12650",3,"1","314.44",5,2,2,"New Customers"
"12651",334,"2","213.30",1,2,1,"Lost Customers"
"12652",331,"1","919.98",1,2,3,"Lost Customers"
"12653",148,"2","2209.85",2,3,5,"At Risk"
"12654",10,"5","601.98",5,4,3,"Loyal Customers"
"12656",17,"5","4051.17",4,4,5,"Champions"
"12657",11,"4","1643.18",5,4,4,"Champions"
"12658",18,"1","686.05",4,1,3,"New Customers"
"12659",29,"1","91.68",4,1,1,"New Customers"
"12660",11,"1","245.10",5,1,1,"New Customers"
"12662",0,"12","4049.97",5,5,5,"Champions"
"12664",8,"10","5430.96",5,5,5,"Champions"
"12665",324,"1","63.00",1,2,1,"Lost Customers"
"12667",58,"1","620.13",3,1,3,"Promising"
"12668",11,"5","4979.53",5,4,5,"Champions"
"12669",150,"3","2744.03",2,4,5,"At Risk"
"12670",10,"6","3534.69",5,5,5,"Champions"
"12672",329,"1","225.90",1,1,1,"Lost Customers"
"12673",5,"2","610.52",5,3,3,"Loyal Customers"
"12674",38,"4","1970.60",4,4,4,"Champions"
"12676",24,"6","1331.39",4,4,4,"Champions"
"12678",42,"15","20755.23",3,5,5,"Loyal Customers"
"12679",58,"4","1113.02",3,4,4,"Loyal Customers"
"12680",0,"4","880.81",5,4,3,"Loyal Customers"
"12681",14,"26","18081.23",5,5,5,"Champions"
"12682",3,"36","14445.23",5,5,5,"Champions"
"12683",4,"17","9709.93",5,5,5,"Champions"
"12684",7,"7","2283.63",5,5,5,"Champions"
"12685",28,"6","2863.08",4,5,5,"Champions"
"12686",371,"1","89.14",1,1,1,"Lost Customers"
"12688",113,"1","4873.81",2,1,5,"Lost Customers"
"12689",25,"2","1247.61",4,3,4,"Loyal Customers"
"12690",205,"1","389.01",2,2,2,"Lost Customers"
"12691",28,"6","1035.80",4,5,4,"Champions"
"12693",127,"4","855.91",2,4,3,"At Risk"
"12694",70,"2","869.67",3,2,3,"Promising"
"12695",7,"4","582.10",5,4,3,"Loyal Customers"
"12697",28,"3","957.59",4,3,3,"Loyal Customers"
"12700",7,"4","4939.99",5,4,5,"Champions"
"12701",79,"2","797.71",3,2,3,"Promising"
"12702",19,"1","219.00",4,1,1,"New Customers"
"12703",71,"1","283.55",3,2,2,"Promising"
"12704",7,"8","2340.84",5,5,5,"Champions"
"12705",15,"11","7696.44",5,5,5,"Champions"
"12707",291,"1","603.42",1,1,3,"Lost Customers"
"12708",29,"11","2918.38",4,5,5,"Champions"
"12709",15,"19","12061.72",5,5,5,"Champions"
"12710",96,"3","1149.02",2,3,4,"At Risk"
"12712",28,"14","4729.93",4,5,5,"Champions"
"12713",0,"1","848.55",5,1,3,"New Customers"
"12714",9,"8","8913.93",5,5,5,"Champions"
"12715",106,"1","343.36",2,2,2,"Lost Customers"
"12716",3,"2","1053.49",5,2,4,"New Customers"
"12717",151,"2","1030.98",2,2,4,"Lost Customers"
"12718",71,"1","238.25",3,1,1,"Promising"
"12719",5,"2","644.95",5,3,3,"Loyal Customers"
"12720",2,"25","5781.73",5,5,5,"Champions"
"12721",31,"7","3261.53",4,5,5,"Champions"
"12722",85,"4","997.63",3,4,4,"Loyal Customers"
"12723",3,"5","725.07",5,4,3,"Loyal Customers"
"12724",5,"5","1343.96",5,4,4,"Champions"
"12725",371,"1","427.80",1,1,2,"Lost Customers"
"12726",28,"8","2920.26",4,5,5,"Champions"
"12727",10,"7","3980.70",5,5,5,"Champions"
"12728",71,"5","1070.17",3,4,4,"Loyal Customers"
"12729",113,"1","453.01",2,1,2,"Lost Customers"
"12731",23,"12","18895.91",4,5,5,"Champions"
"12732",179,"1","236.26",2,1,1,"Lost Customers"
"12733",234,"3","1916.77",2,4,4,"At Risk"
"12734",352,"3","639.65",1,3,3,"At Risk"
"12735",315,"2","779.57",1,2,3,"Lost Customers"
"12736",332,"1","234.00",1,1,1,"Lost Customers"
"12738",372,"1","155.35",1,1,1,"Lost Customers"
"12739",78,"3","1281.04",3,4,4,"Loyal Customers"
"12740",63,"1","427.60",3,1,2,"Promising"
"12743",134,"2","540.13",2,3,3,"At Risk"
"12744",51,"7","21279.29",3,5,5,"Loyal Customers"
"12747",2,"15","5622.76",5,5,5,"Champions"
"12748",0,"235","37739.40",5,5,5,"Champions"
"12749",3,"5","4090.88",5,4,5,"Champions"
"12750",128,"1","275.88",2,2,2,"Lost Customers"
"12752",81,"1","4366.78",3,1,5,"Promising"
"12753",22,"6","21429.39",4,4,5,"Champions"
"12754",235,"3","3010.74",2,4,5,"At Risk"
"12755",280,"6","3838.50",1,5,5,"At Risk"
"12756",86,"1","112.08",3,1,1,"Promising"
"12757",15,"13","7834.65",5,5,5,"Champions"
"12758",116,"3","5246.27",2,4,5,"At Risk"
"12759",52,"5","2726.49",3,4,5,"Loyal Customers"
"12762",7,"2","1898.52",5,3,4,"Loyal Customers"
"12763",138,"2","494.08",2,3,2,"At Risk"
"12764",316,"1","1693.88",1,1,4,"Lost Customers"
"12766",3,"8","8044.63",5,5,5,"Champions"
"12767",375,"1","949.82",1,1,3,"Lost Customers"
"12769",238,"1","1143.60",2,2,4,"Lost Customers"
"12770",210,"1","1351.45",2,1,4,"Lost Customers"
"12772",59,"1","892.47",3,2,3,"Promising"
"12775",17,"6","1514.00",4,4,4,"Champions"
"12778",19,"6","822.23",4,5,3,"Loyal Customers"
"12779",37,"10","4903.05",4,5,5,"Champions"
"12781",63,"2","826.74",3,2,3,"Promising"
"12782",4,"6","2754.44",5,5,5,"Champions"
"12783",2,"6","2225.91",5,4,5,"Champions"
"12784",9,"2","532.82",5,3,3,"Loyal Customers"
"12785",364,"2","678.85",1,3,3,"At Risk"
"12787",9,"3","463.66",5,3,2,"Loyal Customers"
"12789",65,"2","181.10",3,2,1,"Promising"
"12790",192,"1","324.92",2,2,2,"Lost Customers"
"12791",373,"2","308.40",1,3,2,"At Risk"
"12792",256,"1","400.54",1,2,2,"Lost Customers"
"12793",334,"2","545.48",1,3,3,"At Risk"
"12794",53,"2","860.41",3,2,3,"Promising"
"12795",18,"1","430.48",4,1,2,"New Customers"
"12797",365,"1","254.03",1,2,2,"Lost Customers"
"12798",10,"3","6977.04",5,4,5,"Champions"
"12802",186,"1","427.58",2,1,2,"Lost Customers"
"12805",381,"1","443.60",1,1,2,"Lost Customers"
"12807",383,"1","330.35",1,2,2,"Lost Customers"
"12808",36,"3","483.65",4,3,2,"Loyal Customers"
"12809",177,"1","489.31",2,1,2,"Lost Customers"
"12811",260,"4","750.95",1,4,3,"At Risk"
"12812",44,"1","229.64",3,1,1,"Promising"
"12813",693,"1","244.20",1,1,1,"Lost Customers"
"12814",101,"1","125.92",2,2,1,"Lost Customers"
"12815",147,"2","1063.46",2,2,4,"Lost Customers"
"12816",95,"2","572.20",2,3,3,"At Risk"
"12817",281,"1","166.04",1,1,1,"Lost Customers"
"12818",261,"1","1542.08",1,1,4,"Lost Customers"
"12820",3,"6","1425.63",5,4,4,"Champions"
"12821",214,"1","92.72",2,1,1,"Lost Customers"
"12822",70,"2","948.88",3,2,3,"Promising"
"12823",74,"5","1759.50",3,4,4,"Loyal Customers"
"12824",59,"1","397.12",3,2,2,"Promising"
"12826",2,"8","1932.92",5,5,4,"Champions"
"12827",5,"3","430.15",5,3,2,"Loyal Customers"
"12828",2,"6","1018.71",5,5,4,"Champions"
"12829",336,"2","293.00",1,2,2,"Lost Customers"
"12830",37,"6","6814.64",4,5,5,"Champions"
"12831",262,"1","215.05",1,1,1,"Lost Customers"
"12832",32,"2","383.03",4,3,2,"Loyal Customers"
"12833",145,"1","417.38",2,1,2,"Lost Customers"
"12834",282,"1","312.38",1,2,2,"Lost Customers"
"12835",697,"7","1482.31",1,5,4,"At Risk"
"12836",59,"6","3659.73",3,5,5,"Loyal Customers"
"12837",173,"1","134.10",2,2,1,"Lost Customers"
"12838",33,"3","886.85",4,3,3,"Loyal Customers"
"12839",2,"18","7154.28",5,5,5,"Champions"
"12840",143,"4","2726.77",2,4,5,"At Risk"
"12841",4,"28","4720.97",5,5,5,"Champions"
"12842",70,"3","1516.19",3,4,4,"Loyal Customers"
"12843",65,"11","2137.80",3,5,4,"Loyal Customers"
"12844",29,"2","325.96",4,3,2,"Loyal Customers"
"12845",267,"4","354.09",1,4,2,"At Risk"
"12847",22,"2","1609.00",4,3,4,"Loyal Customers"
"12849",31,"3","1738.61",4,4,4,"Champions"
"12851",96,"1","131.81",2,2,1,"Lost Customers"
"12852",294,"1","311.55",1,2,2,"Lost Customers"
"12853",134,"6","1957.10",2,4,4,"At Risk"
"12854",78,"4","1838.69",3,4,4,"Loyal Customers"
"12855",372,"1","38.10",1,2,1,"Lost Customers"
"12856",7,"6","2170.78",5,4,4,"Champions"
"12857",210,"2","1106.40",2,2,4,"Lost Customers"
"12858",383,"1","147.27",1,2,1,"Lost Customers"
"12860",693,"1","54.22",1,2,1,"Lost Customers"
"12863",52,"2","1105.60",3,2,4,"Promising"
"12864",138,"1","147.12",2,2,1,"Lost Customers"
"12865",26,"3","2280.32",4,4,5,"Champions"
"12866",283,"1","559.12",1,1,3,"Lost Customers"
"12867",26,"8","4295.83",4,5,5,"Champions"
"12868",185,"8","2043.76",2,5,4,"At Risk"
"12870",375,"1","1184.95",1,1,4,"Lost Customers"
"12871",84,"2","380.64",3,3,2,"Loyal Customers"
"12872",326,"4","1286.04",1,4,4,"At Risk"
"12873",282,"1","374.00",1,2,2,"Lost Customers"
"12874",385,"1","459.16",1,1,2,"Lost Customers"
"12875",143,"3","648.51",2,3,3,"At Risk"
"12876",57,"2","2218.02",3,3,5,"Loyal Customers"
"12877",3,"13","1835.26",5,5,4,"Champions"
"12878",236,"2","854.99",2,2,3,"Lost Customers"
"12879",44,"3","573.22",3,3,3,"Loyal Customers"
"12880",381,"1","302.95",1,2,2,"Lost Customers"
"12881",275,"1","298.00",1,2,2,"Lost Customers"
"12882",9,"2","1463.04",5,3,4,"Loyal Customers"
"12883",24,"4","703.47",4,4,3,"Loyal Customers"
"12884",88,"1","309.05",3,2,2,"Promising"
"12885",63,"3","1175.22",3,4,4,"Loyal Customers"
"12886",67,"2","1378.40",3,3,4,"Loyal Customers"
"12887",383,"1","222.40",1,1,1,"Lost Customers"
"12888",214,"2","354.12",2,3,2,"At Risk"
"12889",381,"1","48.85",1,2,1,"Lost Customers"
"12890",24,"2","706.02",4,3,3,"Loyal Customers"
"12891",185,"3","331.00",2,3,2,"At Risk"
"12893",30,"1","176.55",4,1,1,"New Customers"
"12895",42,"2","372.80",3,3,2,"Loyal Customers"
"12897",204,"3","410.10",2,3,2,"At Risk"
"12901",8,"28","17654.54",5,5,5,"Champions"
"12902",264,"1","138.68",1,2,1,"Lost Customers"
"12904",18,"2","496.06",4,3,2,"Loyal Customers"
"12906",11,"5","2919.81",5,4,5,"Champions"
"12908",176,"3","1140.00",2,3,4,"At Risk"
"12909",39,"5","2178.67",4,4,5,"Champions"
"12910",23,"9","3575.22",4,5,5,"Champions"
"12912",2,"5","1662.30",5,4,4,"Champions"
"12913",4,"9","4793.86",5,5,5,"Champions"
"12915",148,"2","363.65",2,3,2,"At Risk"
"12916",138,"4","2944.95",2,4,5,"At Risk"
"12917",128,"2","2146.90",2,3,4,"At Risk"
"12919",8,"6","1335.19",5,4,4,"Champions"
"12920",17,"3","301.68",4,3,2,"Loyal Customers"
"12921",9,"44","20890.19",5,5,5,"Champions"
"12922",161,"1","405.38",2,1,2,"Lost Customers"
"12923",64,"2","344.22",3,3,2,"Loyal Customers"
"12924",88,"7","1214.05",3,5,4,"Loyal Customers"
"12925",4,"2","694.05",5,3,3,"Loyal Customers"
"12926",725,"1","370.77",1,2,2,"Lost Customers"
"12928",35,"6","2801.56",4,5,5,"Champions"
"12929",311,"1","117.85",1,2,1,"Lost Customers"
"12930",78,"2","415.80",3,3,2,"Loyal Customers"
"12931",21,"22","49039.31",4,5,5,"Champions"
"12933",24,"5","948.52",4,4,3,"Loyal Customers"
"12934",736,"1","181.65",1,1,1,"Lost Customers"
"12935",2,"8","2470.73",5,5,5,"Champions"
"12936",17,"4","1063.90",4,4,4,"Champions"
"12937",15,"6","1818.84",5,4,4,"Champions"
"12938",25,"1","114.14",4,1,1,"New Customers"
"12939",64,"12","16228.56",3,5,5,"Loyal Customers"
"12940",54,"2","899.69",3,2,3,"Promising"
"12941",724,"1","377.49",1,2,2,"Lost Customers"
"12942",131,"3","675.60",2,3,3,"At Risk"
"12944",35,"2","604.51",4,3,3,"Loyal Customers"
"12945",288,"1","462.95",1,1,2,"Lost Customers"
"12947",143,"6","1603.99",2,4,4,"At Risk"
"12948",16,"9","2317.43",4,5,5,"Champions"
"12949",30,"10","6695.77",4,5,5,"Champions"
"12950",2,"3","1843.00",5,4,4,"Champions"
"12951",8,"8","1614.57",5,5,4,"Champions"
"12952",5,"4","1387.79",5,4,4,"Champions"
"12953",9,"1","329.85",5,2,2,"New Customers"
"12955",1,"11","4757.16",5,5,5,"Champions"
"12956",306,"3","384.77",1,3,2,"At Risk"
"12957",9,"9","5125.49",5,5,5,"Champions"
"12961",379,"1","211.99",1,1,1,"Lost Customers"
"12962",7,"2","266.39",5,2,2,"New Customers"
"12963",8,"8","1856.63",5,5,4,"Champions"
"12965",89,"1","769.81",2,1,3,"Lost Customers"
"12966",9,"1","160.18",5,1,1,"New Customers"
"12967",358,"3","2938.52",1,4,5,"At Risk"
"12968",112,"1","135.95",2,2,1,"Lost Customers"
"12970",7,"10","1453.60",5,5,4,"Champions"
"12971",3,"98","12429.80",5,5,5,"Champions"
